verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1642843922;14.00172757748;5002;5740;48623;56611;48623;740;332194;680806;534937;         ;56611;680806;18132683652
1.1646545873;14.00172757748;5002;5741;48623;56629;48623;741;332772;680806;534937;         ;56629;680806;18104579558
1.1647368529;14.00172757748;5002;5742;48623;56633;48623;742;333070;680806;534937;         ;56633;680806;18090089904
1.1652715793;14.00172757748;5002;5743;48623;56659;48623;743;333793;680806;534937;         ;56659;680806;18054935475
1.1653538449;14.00172757748;5002;5744;48623;56663;48623;744;334144;680806;534937;         ;56663;680806;18037868802
1.1655183761;14.00172757748;5002;5745;48623;56671;48623;745;334481;680806;534937;         ;56671;680806;18021482851
1.1657240401;14.00172757748;5002;5746;48623;56681;48623;746;334880;680806;534937;         ;56681;680806;18002082274
1.1658474385;14.00172757748;5002;5747;48623;56687;48623;747;335152;680806;534937;         ;56687;680806;17988856818
1.1661353680;14.00172757748;5002;5748;48623;56701;48623;748;335617;680806;534937;         ;56701;680806;17966247123
1.1663410320;14.00172757748;5002;5749;48623;56711;48623;749;335962;680806;534937;         ;56711;680806;17949472188
1.1663821648;14.00172757748;5002;5750;48623;56713;48623;750;336218;680806;534937;         ;56713;680806;17937024700
1.1667523600;14.00172757748;5002;5751;48623;56731;48623;751;336739;680806;534937;         ;56731;680806;17911692117
1.1668757584;13.00172757748;5002;5752;48623;56737;48623;752;288378;632183;486314;         ;56737;583560;17898952891
